,ip_address,remote_log_name,authenticated_user_name,timestamp,method,requesta_url,protocol,status_code,bytes_transferred,referrer_url,user_agent
0,192.168.4.164,,,[22/Dec/2016:15:19:05 +0300],GET,/DVWA/,HTTP/1.1,200,2020,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
1,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/,HTTP/1.1,200,263,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
2,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.git/config,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
3,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.git/config,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
4,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.svn/all-wcprops,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
5,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.svn/all-wcprops,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
6,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.svn/wc.db,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
7,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/.svn/wc.db,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
8,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/~.aspx,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
9,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/~.aspx,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
10,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/cgi-bin/,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
11,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/cgi-bin/,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
12,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/cgi-sys/,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
13,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/cgi-sys/,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
14,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/config.inc,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
15,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/config.inc,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
16,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/CVS/Entries,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
17,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/CVS/Entries,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
18,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/database.inc,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
19,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/Netsparker5813f70393f249298de468dad74c98a4/,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
20,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/phpinfo.php,HTTP/1.1,200,286,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
21,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/phpinfo.php,HTTP/1.1,200,286,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
22,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/trace.axd,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
23,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/trace.axd,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
24,192.168.4.164,,,[22/Dec/2016:15:19:06 +0300],HEAD,/DVWA/WS_FTP.log,HTTP/1.1,404,139,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, (KHTML, like Gecko) Chrome/41.0.2272.16 Safari/537.36"
