,ip_address,remote_log_name,authenticated_user_name,timestamp,method,requesta_url,protocol,status_code,bytes_transferred,referrer_url,user_agent
0,192.168.4.163,,,[22/Dec/2016:22:32:31 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
1,192.168.4.163,,,[22/Dec/2016:22:32:31 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
2,192.168.4.163,,,[22/Dec/2016:22:32:31 +0300],GET,/,HTTP/1.1,200,3361,,w3af.org
3,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
4,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
5,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
6,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
7,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
8,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
9,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
10,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
11,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
12,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
13,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
14,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
15,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
16,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/,HTTP/1.1,200,3279,,w3af.org
17,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/4MlfjsG9.py,HTTP/1.1,404,503,,w3af.org
18,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/7Vi0ho7m.foobar,HTTP/1.1,404,507,,w3af.org
19,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/avA6ymqj.php,HTTP/1.1,404,504,,w3af.org
20,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/cdcZMNEA.cgi,HTTP/1.1,404,503,,w3af.org
21,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/HD7rYCqF.gif,HTTP/1.1,404,504,,w3af.org
22,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/ISizwTQw.asp,HTTP/1.1,404,504,,w3af.org
23,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/oDZI69nQ.do,HTTP/1.1,404,503,,w3af.org
24,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/phS4AQmy.xhtml,HTTP/1.1,404,506,,w3af.org
25,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/WHxNxiyL.jsp,HTTP/1.1,404,504,,w3af.org
26,192.168.4.163,,,[22/Dec/2016:22:32:32 +0300],GET,/xHEv5Bu9.htmls,HTTP/1.1,404,506,,w3af.org
27,192.168.4.163,,,[22/Dec/2016:22:32:33 +0300],GET,/ob9gm0zv.htm,HTTP/1.1,404,504,,w3af.org
28,192.168.4.163,,,[22/Dec/2016:22:32:34 +0300],GET,/F2UuPWfX.pl,HTTP/1.1,404,503,,w3af.org
29,192.168.4.163,,,[22/Dec/2016:22:32:34 +0300],GET,/toAvZOBg.rb,HTTP/1.1,404,503,,w3af.org
30,192.168.4.163,,,[22/Dec/2016:22:32:35 +0300],GET,/jJ7szEYv.aspx,HTTP/1.1,404,505,,w3af.org
31,192.168.4.163,,,[22/Dec/2016:22:35:34 +0300],GET,/13z6waLe.cgi,HTTP/1.1,404,503,,w3af.org
32,192.168.4.163,,,[22/Dec/2016:22:35:34 +0300],GET,/4RpaFSro.gif,HTTP/1.1,404,504,,w3af.org
33,192.168.4.163,,,[22/Dec/2016:22:35:34 +0300],GET,/DVWA,HTTP/1.1,301,573,,w3af.org
